timestamp,open,high,low,close,volume,trade_count,vwap
2025-12-04 20:37:00+00:00,7.84,7.85,7.84,7.85,430.0,8.0,7.845
2025-12-04 20:38:00+00:00,7.88,7.88,7.87,7.87,423.0,6.0,7.875726
2025-12-04 20:42:00+00:00,7.86,7.87,7.86,7.87,630.0,6.0,7.863
2025-12-04 20:45:00+00:00,7.84,7.87,7.84,7.87,200.0,2.0,7.855
2025-12-04 20:50:00+00:00,7.855,7.855,7.84,7.84,366.0,4.0,7.848333
2025-12-04 20:51:00+00:00,7.84,7.85,7.84,7.85,400.0,3.0,7.8425
2025-12-04 20:53:00+00:00,7.86,7.86,7.86,7.86,125.0,2.0,7.86
2025-12-04 20:56:00+00:00,7.85,7.85,7.84,7.84,323.0,4.0,7.846
2025-12-04 20:57:00+00:00,7.84,7.86,7.83,7.86,695.0,10.0,7.844258
2025-12-04 20:58:00+00:00,7.855,7.86,7.85,7.85,886.0,16.0,7.855
2025-12-04 20:59:00+00:00,7.85,7.86,7.85,7.86,1055.0,18.0,7.856
2025-12-05 14:49:00+00:00,7.8,7.855,7.8,7.855,200.0,2.0,7.8275
2025-12-05 14:53:00+00:00,7.855,7.855,7.855,7.855,400.0,3.0,7.855
2025-12-05 15:00:00+00:00,7.91,7.91,7.91,7.91,100.0,1.0,7.91
2025-12-05 15:05:00+00:00,7.965,7.965,7.965,7.965,195.0,3.0,7.965
2025-12-05 15:19:00+00:00,7.945,7.945,7.945,7.945,100.0,1.0,7.945
2025-12-05 15:26:00+00:00,7.88,7.88,7.88,7.88,109.0,1.0,7.88
2025-12-05 15:27:00+00:00,7.86,7.86,7.86,7.86,100.0,1.0,7.86
2025-12-05 15:53:00+00:00,7.91,7.94,7.91,7.94,294.0,6.0,7.925
2025-12-05 16:03:00+00:00,7.86,7.86,7.86,7.86,125.0,2.0,7.86
2025-12-05 16:08:00+00:00,7.82,7.82,7.82,7.82,150.0,1.0,7.82
2025-12-05 16:12:00+00:00,7.85,7.85,7.85,7.85,200.0,3.0,7.85
2025-12-05 16:25:00+00:00,7.91,7.91,7.91,7.91,179.0,3.0,7.91
2025-12-05 16:27:00+00:00,7.93,7.935,7.93,7.935,200.0,2.0,7.9325
2025-12-05 16:31:00+00:00,7.995,8.0,7.99,8.0,750.0,6.0,7.996667
2025-12-05 16:36:00+00:00,7.985,7.985,7.97,7.97,400.0,2.0,7.97375
2025-12-05 16:51:00+00:00,7.89,7.89,7.855,7.855,301.0,4.0,7.878333
2025-12-05 17:21:00+00:00,7.885,7.885,7.885,7.885,176.0,3.0,7.885
2025-12-05 18:04:00+00:00,7.96,7.96,7.96,7.96,104.0,2.0,7.96
2025-12-05 18:05:00+00:00,7.955,7.955,7.955,7.955,112.0,2.0,7.955
2025-12-05 18:47:00+00:00,7.93,7.93,7.93,7.93,120.0,2.0,7.93
2025-12-05 19:08:00+00:00,7.91,7.91,7.91,7.91,204.0,3.0,7.91
2025-12-05 19:35:00+00:00,7.925,7.925,7.925,7.925,100.0,1.0,7.925
2025-12-05 19:42:00+00:00,7.95,7.95,7.94,7.94,301.0,5.0,7.945
2025-12-05 19:44:00+00:00,7.94,7.94,7.94,7.94,100.0,1.0,7.94
2025-12-05 20:18:00+00:00,7.925,7.925,7.925,7.925,137.0,4.0,7.925
2025-12-05 20:19:00+00:00,7.94,7.94,7.94,7.94,101.0,2.0,7.94
2025-12-05 20:22:00+00:00,7.91,7.91,7.91,7.91,300.0,7.0,7.91
2025-12-05 20:28:00+00:00,7.91,7.91,7.91,7.91,100.0,1.0,7.91
2025-12-05 20:31:00+00:00,7.9,7.9,7.89,7.89,402.0,6.0,7.8975
2025-12-05 20:35:00+00:00,7.86,7.86,7.86,7.86,106.0,2.0,7.86
2025-12-05 20:39:00+00:00,7.87,7.88,7.87,7.88,387.0,8.0,7.876951
2025-12-05 20:50:00+00:00,7.9,7.9,7.9,7.9,218.0,4.0,7.9
2025-12-05 20:51:00+00:00,7.88,7.89,7.865,7.865,412.0,5.0,7.875
2025-12-05 20:52:00+00:00,7.86,7.86,7.86,7.86,100.0,1.0,7.86
2025-12-05 20:53:00+00:00,7.84,7.84,7.81,7.81,897.0,13.0,7.815
2025-12-05 20:55:00+00:00,7.81,7.81,7.81,7.81,102.0,2.0,7.81
2025-12-05 20:58:00+00:00,7.78,7.785,7.78,7.785,593.0,6.0,7.781111
2025-12-05 20:59:00+00:00,7.785,7.785,7.785,7.785,644.0,16.0,7.785
2025-12-08 14:36:00+00:00,7.805,7.83,7.805,7.83,300.0,3.0,7.82
2025-12-08 14:39:00+00:00,7.825,7.825,7.825,7.825,200.0,2.0,7.825
2025-12-08 14:46:00+00:00,7.96,7.96,7.96,7.96,100.0,1.0,7.96
2025-12-08 14:49:00+00:00,7.89,7.93,7.89,7.92,700.0,6.0,7.912857
2025-12-08 15:02:00+00:00,7.865,7.865,7.865,7.865,100.0,1.0,7.865
2025-12-08 15:03:00+00:00,7.87,7.87,7.87,7.87,100.0,1.0,7.87
2025-12-08 15:04:00+00:00,7.89,7.89,7.885,7.885,400.0,4.0,7.88625
2025-12-08 15:10:00+00:00,7.88,7.88,7.88,7.88,100.0,1.0,7.88
2025-12-08 15:11:00+00:00,7.895,7.895,7.895,7.895,100.0,1.0,7.895
2025-12-08 15:18:00+00:00,7.905,7.905,7.905,7.905,100.0,1.0,7.905
2025-12-08 15:24:00+00:00,7.96,7.96,7.96,7.96,101.0,2.0,7.96
2025-12-08 15:25:00+00:00,7.965,7.965,7.965,7.965,115.0,1.0,7.965
2025-12-08 15:26:00+00:00,7.975,7.975,7.975,7.975,295.0,5.0,7.975
2025-12-08 15:29:00+00:00,8.065,8.065,8.065,8.065,236.0,4.0,8.065
2025-12-08 15:30:00+00:00,8.07,8.075,8.07,8.075,591.0,9.0,8.071147
2025-12-08 15:37:00+00:00,8.045,8.045,8.045,8.045,100.0,1.0,8.045
2025-12-08 15:39:00+00:00,8.075,8.075,8.075,8.075,155.0,6.0,8.075
2025-12-08 15:40:00+00:00,8.125,8.125,8.11,8.12,800.0,4.0,8.121875
2025-12-08 15:41:00+00:00,8.12,8.12,8.12,8.12,100.0,1.0,8.12
2025-12-08 15:54:00+00:00,8.11,8.11,8.11,8.11,100.0,1.0,8.11
2025-12-08 15:57:00+00:00,8.125,8.125,8.125,8.125,153.0,6.0,8.125
2025-12-08 16:00:00+00:00,8.07,8.07,8.07,8.07,100.0,1.0,8.07
2025-12-08 16:09:00+00:00,7.95,7.95,7.95,7.95,200.0,2.0,7.95
2025-12-08 16:19:00+00:00,8.09,8.09,8.09,8.09,596.0,9.0,8.09
2025-12-08 16:27:00+00:00,8.07,8.07,8.07,8.07,181.0,3.0,8.07
2025-12-08 16:38:00+00:00,8.075,8.075,8.075,8.075,279.0,5.0,8.075
2025-12-08 16:46:00+00:00,8.07,8.07,8.07,8.07,133.0,3.0,8.07
2025-12-08 16:47:00+00:00,8.08,8.08,8.08,8.08,100.0,1.0,8.08
2025-12-08 17:13:00+00:00,8.065,8.065,8.065,8.065,241.0,3.0,8.065
2025-12-08 17:19:00+00:00,8.105,8.105,8.105,8.105,125.0,2.0,8.105
2025-12-08 17:24:00+00:00,8.105,8.105,8.105,8.105,100.0,1.0,8.105
2025-12-08 17:42:00+00:00,8.13,8.13,8.13,8.13,116.0,2.0,8.13
2025-12-08 17:45:00+00:00,8.115,8.115,8.115,8.115,200.0,2.0,8.115
2025-12-08 17:47:00+00:00,8.115,8.115,8.115,8.115,250.0,3.0,8.115
2025-12-08 17:51:00+00:00,8.13,8.13,8.13,8.13,100.0,1.0,8.13
2025-12-08 17:55:00+00:00,8.13,8.13,8.13,8.13,100.0,1.0,8.13
2025-12-08 18:29:00+00:00,8.08,8.08,8.08,8.08,150.0,4.0,8.08
2025-12-08 18:31:00+00:00,8.08,8.08,8.08,8.08,179.0,3.0,8.08
2025-12-08 18:37:00+00:00,8.105,8.105,8.105,8.105,100.0,1.0,8.105
